experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,50000,1,22189,cuda,50000,250,64,10,0.3708643913269043,1.0,1.0,,,,,,,,ok,
n,50000,2,22190,author,50000,250,64,10,2.669482946395874,1.0,1.0,,,,,,,,ok,
n,50000,2,22190,cuda,50000,250,64,10,0.3696470260620117,1.0,1.0,,,,,,,,ok,
n,50000,3,22191,author,50000,250,64,10,2.6300747394561768,1.0,1.0,,,,,,,,ok,
n,50000,3,22191,cuda,50000,250,64,10,0.3768196105957031,1.0,1.0,,,,,,,,ok,
n,50000,4,22192,author,50000,250,64,10,2.6231067180633545,1.0,1.0,,,,,,,,ok,
n,50000,4,22192,cuda,50000,250,64,10,0.3632223606109619,1.0,1.0,,,,,,,,ok,
n,100000,0,22188,author,100000,250,64,10,5.317698955535889,1.0,1.0,,,,,,,,ok,
n,100000,0,22188,cuda,100000,250,64,10,0.6511292457580566,1.0,1.0,,,,,,,,ok,
n,100000,1,22189,author,100000,250,64,10,5.340404272079468,1.0,1.0,,,,,,,,ok,
n,100000,1,22189,cuda,100000,250,64,10,0.6568665504455566,1.0,1.0,,,,,,,,ok,
n,100000,2,22190,author,100000,250,64,10,5.227866172790527,1.0,1.0,,,,,,,,ok,
n,100000,2,22190,cuda,100000,250,64,10,0.6470260620117188,1.0,1.0,,,,,,,,ok,
n,100000,3,22191,author,100000,250,64,10,5.2367262840271,1.0,1.0,,,,,,,,ok,
n,100000,3,22191,cuda,100000,250,64,10,0.6500329971313477,0.999955556000158,0.9999173347102616,,,,,,,,ok,
n,100000,4,22192,author,100000,250,64,10,5.225206613540649,0.999955556000158,0.9999173347102616,,,,,,,,ok,
n,100000,4,22192,cuda,100000,250,64,10,0.6494977474212646,1.0,1.0,,,,,,,,ok,
n,500000,0,22188,author,500000,250,64,10,25.978177070617676,1.0,1.0,,,,,,,,ok,
n,500000,0,22188,cuda,500000,250,64,10,3.1256048679351807,1.0,1.0,,,,,,,,ok,
n,500000,1,22189,author,500000,250,64,10,25.978119611740112,1.0,1.0,,,,,,,,ok,
n,500000,1,22189,cuda,500000,250,64,10,3.1502015590667725,1.0,1.0,,,,,,,,ok,
n,500000,2,22190,author,500000,250,64,10,25.999425411224365,1.0,1.0,,,,,,,,ok,
n,500000,2,22190,cuda,500000,250,64,10,3.144054651260376,1.0,1.0,,,,,,,,ok,
n,500000,3,22191,author,500000,250,64,10,25.98455548286438,1.0,1.0,,,,,,,,ok,
n,500000,3,22191,cuda,500000,250,64,10,3.153663158416748,1.0,1.0,,,,,,,,ok,
n,500000,4,22192,author,500000,250,64,10,26.01590132713318,1.0,1.0,,,,,,,,ok,
n,500000,4,22192,cuda,500000,250,64,10,3.1534132957458496,1.0,1.0,,,,,,,,ok,
n,1000000,0,22188,author,1000000,250,64,10,53.11566209793091,1.0,1.0,,,,,,,,ok,
n,1000000,0,22188,cuda,1000000,250,64,10,6.378898859024048,1.0,1.0,,,,,,,,ok,
n,1000000,1,22189,author,1000000,250,64,10,53.146512508392334,1.0,1.0,,,,,,,,ok,
n,1000000,1,22189,cuda,1000000,250,64,10,6.360288858413696,1.0,1.0,,,,,,,,ok,
n,1000000,2,22190,author,1000000,250,64,10,53.231127977371216,1.0,1.0,,,,,,,,ok,
n,1000000,2,22190,cuda,1000000,250,64,10,6.381035566329956,1.0,1.0,,,,,,,,ok,
n,1000000,3,22191,author,1000000,250,64,10,53.18417835235596,1.0,1.0,,,,,,,,ok,
n,1000000,3,22191,cuda,1000000,250,64,10,6.391211748123169,1.0,1.0,,,,,,,,ok,
n,1000000,4,22192,author,1000000,250,64,10,53.2760910987854,1.0,1.0,,,,,,,,ok,
n,1000000,4,22192,cuda,1000000,250,64,10,6.383743047714233,1.0,1.0,,,,,,,,ok,
n,5000000,0,22188,author,5000000,250,64,10,273.78585982322693,1.0,1.0,,,,,,,,ok,
n,5000000,0,22188,cuda,5000000,250,64,10,33.73857808113098,1.0,1.0,,,,,,,,ok,
n,5000000,1,22189,author,5000000,250,64,10,274.7557656764984,1.0,1.0,,,,,,,,ok,
n,5000000,1,22189,cuda,5000000,250,64,10,33.79965162277222,1.0,1.0,,,,,,,,ok,
n,5000000,2,22190,author,5000000,250,64,10,275.4678490161896,1.0,1.0,,,,,,,,ok,
n,5000000,2,22190,cuda,5000000,250,64,10,33.82640886306763,1.0,1.0,,,,,,,,ok,
n,5000000,3,22191,author,5000000,250,64,10,273.571412563324,1.0,1.0,,,,,,,,ok,
n,5000000,3,22191,cuda,5000000,250,64,10,33.70975136756897,1.0,1.0,,,,,,,,ok,
n,5000000,4,22192,author,5000000,250,64,10,272.95447063446045,1.0,1.0,,,,,,,,ok,
n,5000000,4,22192,cuda,5000000,250,64,10,33.72621297836304,1.0,1.0,,,,,,,,ok,
n,10000000,0,22188,author,10000000,250,64,10,538.1134016513824,1.0,1.0,,,,,,,,ok,
n,10000000,0,22188,cuda,10000000,250,64,10,69.02732634544373,1.0,1.0,,,,,,,,ok,
n,10000000,1,22189,author,10000000,250,64,10,537.9835097789764,1.0,1.0,,,,,,,,ok,
n,10000000,1,22189,cuda,10000000,250,64,10,69.00044393539429,1.0,1.0,,,,,,,,ok,
n,10000000,2,22190,author,10000000,250,64,10,537.8289256095886,1.0,1.0,,,,,,,,ok,
n,10000000,2,22190,cuda,10000000,250,64,10,68.96199870109558,1.0,1.0,,,,,,,,ok,
n,10000000,3,22191,author,10000000,250,64,10,538.6173496246338,1.0,1.0,,,,,,,,ok,
n,10000000,3,22191,cuda,10000000,250,64,10,68.7147490978241,1.0,1.0,,,,,,,,ok,
n,10000000,4,22192,author,10000000,250,64,10,537.546966791153,1.0,1.0,,,,,,,,ok,
n,10000000,4,22192,cuda,10000000,250,64,10,68.92826104164124,1.0,1.0,,,,,,,,ok,
