experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,5000,0,22188,cpu_36,5000,250,64,10,0.11295485496520996,0.9337965362136854,0.9614678290097045,,,,,,,,ok,
n,5000,1,22189,cpu_4,5000,250,64,10,0.34975385665893555,0.7361825277346837,0.8781716446734895,,,,,,,,ok,
n,5000,1,22189,cpu_8,5000,250,64,10,0.17808747291564941,0.6801178757317802,0.8444395677238944,,,,,,,,ok,
n,5000,1,22189,cpu_16,5000,250,64,10,0.11541128158569336,0.7444171894018198,0.8695793244644308,,,,,,,,ok,
n,5000,1,22189,cpu_36,5000,250,64,10,0.11380577087402344,0.6840252612260617,0.8611636340640881,,,,,,,,ok,
n,5000,2,22190,cpu_4,5000,250,64,10,0.3510923385620117,0.7482861705008858,0.8841146625658075,,,,,,,,ok,
n,5000,2,22190,cpu_8,5000,250,64,10,0.1767892837524414,0.7367225976012102,0.8830704608999245,,,,,,,,ok,
n,5000,2,22190,cpu_16,5000,250,64,10,0.11546826362609863,0.8213451096915212,0.9114459432531694,,,,,,,,ok,
n,5000,2,22190,cpu_36,5000,250,64,10,0.11219143867492676,0.7843987433259252,0.8961645253042015,,,,,,,,ok,
n,5000,3,22191,cpu_4,5000,250,64,10,0.3495616912841797,0.7173498993647087,0.8611201255912834,,,,,,,,ok,
n,5000,3,22191,cpu_8,5000,250,64,10,0.1775345802307129,0.7230196175854362,0.8495306791784175,,,,,,,,ok,
n,5000,3,22191,cpu_16,5000,250,64,10,0.11678171157836914,0.6184262202324038,0.8238081628212822,,,,,,,,ok,
n,5000,3,22191,cpu_36,5000,250,64,10,0.11333513259887695,0.6189785864696075,0.8144438866895471,,,,,,,,ok,
n,5000,4,22192,cpu_4,5000,250,64,10,0.348574161529541,0.6962224022374425,0.8568359076595734,,,,,,,,ok,
n,5000,4,22192,cpu_8,5000,250,64,10,0.17725300788879395,0.669743002719634,0.8333070880465988,,,,,,,,ok,
n,5000,4,22192,cpu_16,5000,250,64,10,0.11452221870422363,0.5521262035232323,0.7840798959174187,,,,,,,,ok,
n,5000,4,22192,cpu_36,5000,250,64,10,0.11058235168457031,0.5381653961371888,0.7841759964096346,,,,,,,,ok,
n,10000,0,22188,cpu_4,10000,250,64,10,0.6801815032958984,0.5969831041903754,0.8154913004068878,,,,,,,,ok,
n,10000,0,22188,cpu_8,10000,250,64,10,0.3477182388305664,0.5528614195734427,0.800394969065816,,,,,,,,ok,
n,10000,0,22188,cpu_16,10000,250,64,10,0.19412589073181152,0.5404884788739795,0.7929212571875087,,,,,,,,ok,
n,10000,0,22188,cpu_36,10000,250,64,10,0.16875338554382324,0.660654536130902,0.8311059471915465,,,,,,,,ok,
n,10000,1,22189,cpu_4,10000,250,64,10,0.6802599430084229,0.7461498599328953,0.8764493006335299,,,,,,,,ok,
n,10000,1,22189,cpu_8,10000,250,64,10,0.3470430374145508,0.8004512567726247,0.9124021495259027,,,,,,,,ok,
n,10000,1,22189,cpu_16,10000,250,64,10,0.19361376762390137,0.5186798361089274,0.7558200987252391,,,,,,,,ok,
n,10000,1,22189,cpu_36,10000,250,64,10,0.16786861419677734,0.5825559233118096,0.7874412572328324,,,,,,,,ok,
n,10000,2,22190,cpu_4,10000,250,64,10,0.677232027053833,0.6677509782914922,0.8332874762743695,,,,,,,,ok,
n,10000,2,22190,cpu_8,10000,250,64,10,0.3496518135070801,0.7414229409713841,0.8691058023825643,,,,,,,,ok,
n,10000,2,22190,cpu_16,10000,250,64,10,0.1935288906097412,0.4957156695547238,0.7651705002128926,,,,,,,,ok,
n,10000,2,22190,cpu_36,10000,250,64,10,0.16707873344421387,0.521236099151631,0.7705181590554261,,,,,,,,ok,
n,10000,3,22191,cpu_4,10000,250,64,10,0.6776924133300781,0.5644194662938359,0.7872667025619656,,,,,,,,ok,
n,10000,3,22191,cpu_8,10000,250,64,10,0.34555506706237793,0.6173955934924461,0.8119401105431368,,,,,,,,ok,
n,10000,3,22191,cpu_16,10000,250,64,10,0.19536662101745605,0.6262099139546738,0.8100621672272029,,,,,,,,ok,
n,10000,3,22191,cpu_36,10000,250,64,10,0.1686704158782959,0.5495353598154106,0.7849816615296406,,,,,,,,ok,
n,10000,4,22192,cpu_4,10000,250,64,10,0.6816892623901367,0.7987586825704384,0.9027061949548066,,,,,,,,ok,
n,10000,4,22192,cpu_8,10000,250,64,10,0.3455038070678711,0.7139364273773847,0.8716507894441996,,,,,,,,ok,
n,10000,4,22192,cpu_16,10000,250,64,10,0.19412612915039062,0.8049712696562359,0.9091197422428192,,,,,,,,ok,
n,10000,4,22192,cpu_36,10000,250,64,10,0.16915655136108398,0.7911125020579792,0.9018609882284027,,,,,,,,ok,
n,25000,0,22188,cpu_4,25000,250,64,10,1.6703088283538818,0.7853929619813927,0.9031297589565637,,,,,,,,ok,
n,25000,0,22188,cpu_8,25000,250,64,10,0.8649957180023193,0.6574757564033713,0.8577599590785845,,,,,,,,ok,
n,25000,0,22188,cpu_16,25000,250,64,10,0.48829078674316406,0.8283612576341712,0.912841356200286,,,,,,,,ok,
n,25000,0,22188,cpu_36,25000,250,64,10,0.35329270362854004,0.8194369364587778,0.9095443526554211,,,,,,,,ok,
n,25000,1,22189,cpu_4,25000,250,64,10,1.6477301120758057,0.7108190459734718,0.8610703343861936,,,,,,,,ok,
n,25000,1,22189,cpu_8,25000,250,64,10,0.8492968082427979,0.6867029365483527,0.8409348577086649,,,,,,,,ok,
n,25000,1,22189,cpu_16,25000,250,64,10,0.48487019538879395,0.7814232033345933,0.89162206089805,,,,,,,,ok,
n,25000,1,22189,cpu_36,25000,250,64,10,0.336122989654541,0.734320485696283,0.8869358938554339,,,,,,,,ok,
n,25000,2,22190,cpu_4,25000,250,64,10,1.6466865539550781,0.7333779987348816,0.862607206317098,,,,,,,,ok,
n,25000,2,22190,cpu_8,25000,250,64,10,0.8507647514343262,0.7468660856943519,0.8701960502390128,,,,,,,,ok,
n,25000,2,22190,cpu_16,25000,250,64,10,0.47708606719970703,0.6925823787647624,0.8396304216410067,,,,,,,,ok,
n,25000,2,22190,cpu_36,25000,250,64,10,0.33536505699157715,0.7401950826040059,0.8626569804975921,,,,,,,,ok,
n,25000,3,22191,cpu_4,25000,250,64,10,1.6463236808776855,0.7554591068515518,0.8686840082489482,,,,,,,,ok,
n,25000,3,22191,cpu_8,25000,250,64,10,0.8496801853179932,0.7019373311000564,0.8488251443678331,,,,,,,,ok,
n,25000,3,22191,cpu_16,25000,250,64,10,0.49341893196105957,0.7489408335770286,0.8675264862355041,,,,,,,,ok,
n,25000,3,22191,cpu_36,25000,250,64,10,0.3339393138885498,0.8008478881846911,0.8978025558036817,,,,,,,,ok,
n,25000,4,22192,cpu_4,25000,250,64,10,1.653733491897583,0.852641466674401,0.9175960537176238,,,,,,,,ok,
n,25000,4,22192,cpu_8,25000,250,64,10,0.873859167098999,0.5320975099455317,0.7882391953637363,,,,,,,,ok,
n,25000,4,22192,cpu_16,25000,250,64,10,0.48665404319763184,0.7511377366329861,0.8584157251972954,,,,,,,,ok,
n,25000,4,22192,cpu_36,25000,250,64,10,0.33554720878601074,0.5917946479088994,0.8111343575233021,,,,,,,,ok,
n,50000,0,22188,cpu_4,50000,250,64,10,3.3112633228302,0.5783040671869476,0.8133056436782904,,,,,,,,ok,
n,50000,0,22188,cpu_8,50000,250,64,10,1.6830475330352783,0.7387362733246343,0.8619802354112044,,,,,,,,ok,
n,50000,0,22188,cpu_16,50000,250,64,10,0.9382882118225098,0.6679680307629848,0.8258383283277366,,,,,,,,ok,
n,50000,0,22188,cpu_36,50000,250,64,10,0.6209754943847656,0.7413274610825672,0.866217892490333,,,,,,,,ok,
n,50000,1,22189,cpu_4,50000,250,64,10,3.2906572818756104,0.6109024324149164,0.8219180858430905,,,,,,,,ok,
n,50000,1,22189,cpu_8,50000,250,64,10,1.6782958507537842,0.7150692004960714,0.8650868850091556,,,,,,,,ok,
n,50000,1,22189,cpu_16,50000,250,64,10,0.9488673210144043,0.8090868403956407,0.8925484909287695,,,,,,,,ok,
n,50000,1,22189,cpu_36,50000,250,64,10,0.6166150569915771,0.6210542586628913,0.8158291185824086,,,,,,,,ok,
n,50000,2,22190,cpu_4,50000,250,64,10,3.2886219024658203,0.7218520679470967,0.8604045591011398,,,,,,,,ok,
