h_dim,run,seed,method,ari,nmi,time_s
64,6,22194,cpu,0.7147192334148356,0.7719587165450082,0.31285977363586426
64,7,22195,author,0.6355495257698329,0.7460483355379685,1.1859614849090576
64,7,22195,cpu,0.5845875569200942,0.7411649777813167,0.31847500801086426
64,8,22196,author,0.6823081658495145,0.7491232745701053,1.177445411682129
64,8,22196,cpu,0.6823523826070527,0.7466848024526382,0.31434130668640137
64,9,22197,author,0.571859134858116,0.7297461492702128,1.2271592617034912
64,9,22197,cpu,0.6952865146502543,0.7735683313532334,0.3195149898529053
784,0,22188,author,0.7004744192749953,0.7659408890081026,8.812137365341187
784,0,22188,cpu,0.6960847886393151,0.7673774228639294,5.010024785995483
784,1,22189,author,0.5523171864227212,0.7120588922799198,7.9869914054870605
784,1,22189,cpu,0.6488305403885938,0.7234757971391681,5.016618013381958
784,2,22190,author,0.5768211337042769,0.736614473475836,8.048599481582642
784,2,22190,cpu,0.6755251976950627,0.7596503106960228,5.046441555023193
784,3,22191,author,0.7274290340276499,0.7744122125943605,12.242156267166138
784,3,22191,cpu,0.59292932911491,0.7308369996720723,5.585965871810913
784,4,22192,author,0.6809584935049416,0.7692135597763695,8.09536075592041
784,4,22192,cpu,0.7097271029308491,0.7721502303738026,5.0147011280059814
784,5,22193,author,0.7124466620525127,0.774024178415503,12.127387046813965
784,5,22193,cpu,0.5720995240148754,0.6845509192799428,5.519732236862183
784,6,22194,author,0.7067105874719141,0.7867972617150535,7.946795225143433
784,6,22194,cpu,0.6206940036753127,0.7238674154278318,4.9982006549835205
784,7,22195,author,0.737697987649271,0.7869387302849994,9.769787311553955
784,7,22195,cpu,0.6560117978550541,0.7623384640088813,5.588644742965698
784,8,22196,author,0.7008396346740097,0.7731542726035098,7.926820278167725
784,8,22196,cpu,0.7000803394174185,0.7735558257614235,4.990341663360596
784,9,22197,author,0.7085381106214763,0.7730508169859761,8.17547869682312
784,9,22197,cpu,0.7250295800502531,0.7860375852788631,5.0450897216796875
